cause,cause_corrected,synonym,nesting_cause
pain.in.the.side,Pain In The Side,Pain In The Side,all
Pain in the side,Pain In The Side,Pain In The Side,all
Pain in the stomach,Pain In The Stomach,Pain In The Stomach,all
paini.n.the.head,Paini N The Head,Paini N The Head,all
palpitation.of.the.heart,Palpitation Of The Heart,Palpitation Of The Heart,all
Palpitation of the Heart,Palpitation Of The Heart,Palpitation Of The Heart,all
palsie,Palsie,Palsy,all
Palsie,Palsie,Palsy,all
Palsy,Palsy,Palsy,all
pancreas.disease,Pancreas Disease,Pancreas Disease,all
pancreas.disease.&.c,Pancreas Disease & C,Pancreas Disease,all
pancreas.disease.other,Pancreas Disease Other,Pancreas Disease Other,all
